title,body,labels,assignees
カーネル部メモリ配置の最適化,"Azure DevOps ID: 86
---
<div>以下2点を最適化する </div><div>・<span style="""">固定長メモリプール</span> </div><div><span style="""">・イーサネット通信用バッファ</span> </div>","issue,status:done",
パケット処理時間の測定検討,"Azure DevOps ID: 88
---
","issue,status:done",
タスク優先度の設計,"Azure DevOps ID: 89
---
","issue,status:done",
実行時間の改善・効果確認,"Azure DevOps ID: 90
---
","issue,status:done",
CPU負荷率の計算,"Azure DevOps ID: 91
---
","issue,status:done",
LiDARスペックの反映,"Azure DevOps ID: 92
---
","issue,status:done",
PTPの実装,"Azure DevOps ID: 93
---
","issue,status:done",
検知点格納バッファ数,"Azure DevOps ID: 101
---
<div><span>ObstacleCommon.hにてバッファ数計算がVLP16換算であること</span> </div><div><span><br></span> </div><div><span>/*<br></span><div>&nbsp;* VP16回転数 &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; = 600 rpm<br> </div><div>&nbsp;* 1回転当たりの照射数 &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;= 60*1000*1000/600/55.296 ≒ 1808.449回<br> </div><div>&nbsp;* 1回転当たりの有効照射数 &nbsp; &nbsp; &nbsp; &nbsp;= 1808.449/( 180 / 360 ) ≒ 904.225回<br> </div><div>&nbsp;* 1回転当たりの最大検知数 &nbsp; &nbsp; &nbsp; &nbsp;= 904.225*NUM_CHANNEL ≒ 14468	(単一センサ）<br> </div><div>&nbsp;*/<br> </div><div>#define	RCV_CYCLE_POINT_NUM	14468<br> </div><div>#define	MAX_CYCLE_POINT	( RCV_CYCLE_POINT_NUM*1)		/* 1周照射分ストアポイント数	*/<br> </div><span></span><br> </div>","issue,status:done",
[fix]scriptsの動作確認,"Azure DevOps ID: 102
---
<div>shutdown_managerのscpriptsがBOXERにおいて動作するか確認する </div>","issue,status:todo",
[confirm]点群切り抜きマージンの確保必要有無,"Azure DevOps ID: 107
---
物体検出結果から点群を引き抜く際に横幅、マージンを設定できるようになっていた。
新型では現状無し。
パラメータ・調整しろは残すべきか

影響確認・机上検証資料
#132","issue,status:todo",
[fix]bbox出力数制限,"Azure DevOps ID: 112
---
<div>SSDからrtmdetに変更した際にバウンディングボックスの出力数制限が撤廃されている。 </div><div>復元し、パラメータから出力数を設定できるようにすること </div>","issue,status:todo",
[fix]カメラ、レンズパラメータの置き場,"Azure DevOps ID: 113
---
<div>機台、環境依存のない設計値になるため、configフォルダは不適。調整が必要な項目に見えるため。 </div>","issue,status:todo",
[fix]bbox重複処理要否判断,"Azure DevOps ID: 114
---
<div>dl_pallet_detect_nodeにあったbbox重複チェック処理を復活する必要があるかないか、あれば再実装すること </div><div><br> </div>","issue,status:todo",
[investigate]学習パラメータの管理方法,"Azure DevOps ID: 115
---
<div>rtmdetのパラメータ管理方法 </div><div>400mb程度あるため、AzureRepo上の管理不可 </div><div>現状はBox </div>","issue,status:todo",
[investigate]各トピックのQoS設定確認,"Azure DevOps ID: 124
---
<div>現状の値で適切か、整理すること </div>","issue,status:todo",
